                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.83728,                0.39556,                0.93479,                0.89339,                0.87718,                0.89842,                0.57803,                 1.2875,                0.62792,                 1.1195,              0.0043447,              0.0043447,              0.0043447
                     70,                0.82915,                0.38672,                0.93527,                 0.9018,                0.87634,                0.89191,                0.58186,                 1.2902,                0.63266,                 1.1233,              0.0042615,              0.0042615,              0.0042615
                     71,                0.82977,                0.38927,                0.93466,                0.89854,                0.86822,                0.87773,                 0.5639,                 1.2811,                0.64601,                  1.115,              0.0041783,              0.0041783,              0.0041783
                     72,                0.82757,                0.39098,                0.92842,                0.86453,                0.86361,                0.88599,                0.57797,                 1.2565,                0.64015,                 1.1064,              0.0040952,              0.0040952,              0.0040952
                     73,                0.82787,                0.38871,                0.93146,                0.89565,                 0.8582,                0.89459,                0.57961,                 1.2644,                0.62171,                 1.1119,               0.004012,               0.004012,               0.004012
                     74,                0.81651,                0.38137,                0.93077,                0.87848,                0.86422,                0.88793,                0.57113,                 1.2892,                0.62511,                 1.1297,              0.0039288,              0.0039288,              0.0039288
                     75,                  0.805,                 0.3821,                0.92791,                 0.9003,                0.85994,                0.89241,                0.57123,                 1.2843,                0.63245,                 1.1272,              0.0038457,              0.0038457,              0.0038457
                     76,                0.81174,                0.38217,                0.92916,                 0.8772,                0.87812,                0.89695,                0.58145,                 1.2654,                  0.617,                   1.12,              0.0037625,              0.0037625,              0.0037625
                     77,                0.80762,                 0.3769,                0.92237,                0.89271,                0.88885,                 0.8969,                0.58519,                 1.2669,                0.62146,                  1.113,              0.0036793,              0.0036793,              0.0036793
                     78,                0.81501,                0.38012,                0.92298,                0.89009,                0.87671,                 0.8983,                0.58229,                 1.2789,                0.63372,                 1.1211,              0.0035962,              0.0035962,              0.0035962
                     79,                0.79696,                0.37432,                0.91995,                0.91221,                0.86141,                0.89531,                0.58047,                 1.2696,                0.62409,                 1.1139,               0.003513,               0.003513,               0.003513
                     80,                0.80161,                0.37191,                0.91992,                0.91306,                0.86082,                0.90459,                0.58468,                 1.2641,                0.61121,                 1.1171,              0.0034298,              0.0034298,              0.0034298
                     81,                0.79477,                0.37221,                0.92094,                0.89921,                0.86719,                 0.9013,                0.58581,                 1.2699,                0.62036,                   1.12,              0.0033467,              0.0033467,              0.0033467
                     82,                0.79391,                0.37263,                0.92176,                0.89805,                0.85782,                0.88457,                0.57275,                   1.29,                0.64439,                 1.1252,              0.0032635,              0.0032635,              0.0032635
                     83,                0.78727,                0.36861,                0.92236,                0.90127,                 0.8795,                0.90091,                0.58746,                 1.2729,                0.61408,                  1.119,              0.0031803,              0.0031803,              0.0031803
                     84,                0.78643,                0.36939,                0.91748,                0.90551,                0.87187,                0.89628,                0.58865,                  1.249,                0.61536,                 1.1019,              0.0030972,              0.0030972,              0.0030972
                     85,                 0.7822,                0.36279,                0.91216,                0.89952,                0.87017,                0.88976,                0.57685,                 1.2736,                0.62236,                 1.1217,               0.003014,               0.003014,               0.003014
                     86,                0.77086,                0.35784,                0.91131,                0.86737,                0.88781,                0.90196,                0.58724,                 1.2651,                0.61867,                 1.1106,              0.0029308,              0.0029308,              0.0029308
                     87,                0.76542,                0.35922,                0.91303,                0.91235,                0.87778,                 0.8992,                 0.5859,                 1.2783,                0.61575,                 1.1146,              0.0028477,              0.0028477,              0.0028477
                     88,                0.77016,                 0.3579,                0.91402,                0.88808,                0.88532,                0.90264,                0.59396,                 1.2683,                0.61341,                 1.1098,              0.0027645,              0.0027645,              0.0027645
                     89,                0.76474,                0.35322,                 0.9156,                0.89572,                0.86234,                0.90262,                0.59443,                 1.2635,                0.60827,                  1.108,              0.0026813,              0.0026813,              0.0026813
                     90,                0.75879,                0.35238,                0.91154,                0.89891,                0.87666,                0.89748,                0.58935,                 1.2663,                0.59975,                 1.1173,              0.0025982,              0.0025982,              0.0025982
                     91,                0.75697,                0.35036,                 0.9077,                0.89787,                0.88205,                 0.8958,                0.58729,                 1.2555,                0.60588,                 1.1134,               0.002515,               0.002515,               0.002515
                     92,                0.75898,                0.35098,                0.90681,                0.91195,                0.85933,                0.89808,                0.59368,                 1.2537,                0.60963,                 1.1076,              0.0024318,              0.0024318,              0.0024318
                     93,                0.75014,                 0.3476,                0.90791,                0.90379,                0.87333,                 0.8935,                0.59345,                 1.2511,                 0.5978,                 1.1122,              0.0023487,              0.0023487,              0.0023487
                     94,                0.75351,                0.34493,                0.90654,                0.89333,                0.87033,                 0.8943,                0.58264,                 1.2716,                  0.604,                 1.1211,              0.0022655,              0.0022655,              0.0022655
                     95,                0.74075,                 0.3417,                0.90046,                0.89594,                 0.8787,                0.89026,                 0.5843,                  1.268,                0.60807,                 1.1208,              0.0021823,              0.0021823,              0.0021823
                     96,                0.74448,                0.34124,                0.90254,                0.92249,                0.85524,                 0.8995,                0.59423,                 1.2626,                0.59785,                 1.1177,              0.0020992,              0.0020992,              0.0020992
                     97,                0.74146,                0.33837,                  0.907,                0.91282,                0.85473,                0.89731,                0.58841,                 1.2656,                0.60091,                 1.1236,               0.002016,               0.002016,               0.002016
                     98,                0.73111,                0.33793,                0.90313,                0.90352,                0.86706,                0.90153,                0.59147,                 1.2593,                0.60114,                 1.1194,              0.0019328,              0.0019328,              0.0019328
                     99,                0.72839,                0.33664,                0.90192,                0.90152,                0.86548,                0.89848,                0.59345,                 1.2458,                0.59873,                 1.1126,              0.0018497,              0.0018497,              0.0018497
                    100,                0.72747,                0.33474,                0.90068,                0.89856,                0.86551,                0.89687,                0.59222,                 1.2584,                0.60027,                 1.1189,              0.0017665,              0.0017665,              0.0017665
                    101,                 0.7243,                0.33294,                 0.8999,                 0.9029,                0.87316,                0.89978,                0.58523,                 1.2731,                 0.5952,                  1.133,              0.0016833,              0.0016833,              0.0016833
                    102,                0.72924,                0.33189,                 0.9058,                0.90865,                0.86227,                0.89008,                0.59075,                 1.2646,                0.60996,                 1.1301,              0.0016002,              0.0016002,              0.0016002
                    103,                0.71538,                0.32729,                0.89753,                  0.905,                0.87175,                0.89844,                0.59412,                 1.2682,                0.60308,                 1.1291,               0.001517,               0.001517,               0.001517
                    104,                0.71621,                 0.3284,                0.89425,                0.89904,                0.88154,                0.90255,                0.60475,                 1.2632,                0.59322,                 1.1234,              0.0014338,              0.0014338,              0.0014338
                    105,                0.70982,                0.32619,                0.89223,                0.89511,                 0.8882,                0.89808,                0.59821,                 1.2685,                0.58987,                 1.1257,              0.0013507,              0.0013507,              0.0013507
                    106,                0.70655,                0.32275,                0.89637,                0.90519,                0.87761,                0.89629,                0.59758,                 1.2666,                0.59973,                 1.1248,              0.0012675,              0.0012675,              0.0012675
                    107,                0.68925,                0.31723,                0.88638,                0.89544,                  0.892,                0.89869,                0.60213,                 1.2552,                 0.5878,                 1.1204,              0.0011843,              0.0011843,              0.0011843
                    108,                0.69856,                0.31958,                0.89348,                0.89374,                0.87724,                0.89744,                0.60121,                 1.2603,                0.59286,                 1.1214,              0.0011012,              0.0011012,              0.0011012
                    109,                0.70263,                0.32082,                0.89062,                0.89799,                0.88307,                0.89739,                0.59765,                  1.263,                0.58897,                 1.1253,               0.001018,               0.001018,               0.001018
                    110,                0.68652,                0.31362,                0.89097,                0.90273,                0.88032,                0.89799,                0.59293,                   1.27,                0.59154,                 1.1309,             0.00093483,             0.00093483,             0.00093483
                    111,                0.68691,                0.31247,                 0.8885,                0.90646,                0.87105,                0.89724,                0.59739,                 1.2608,                0.59317,                 1.1278,             0.00085167,             0.00085167,             0.00085167
                    112,                 0.6847,                0.31267,                 0.8878,                0.90849,                0.88384,                0.89989,                0.59712,                 1.2617,                0.58518,                 1.1296,              0.0007685,              0.0007685,              0.0007685
                    113,                 0.6752,                0.31008,                0.88316,                 0.9041,                0.87098,                0.89988,                0.59883,                 1.2614,                0.59062,                 1.1297,             0.00068533,             0.00068533,             0.00068533
                    114,                0.67247,                0.30673,                0.88832,                0.90691,                0.88078,                0.90118,                0.59991,                 1.2567,                0.58993,                 1.1272,             0.00060217,             0.00060217,             0.00060217
                    115,                0.67423,                 0.3074,                0.88171,                0.89529,                0.88523,                0.90294,                0.60218,                 1.2562,                0.58147,                 1.1279,               0.000519,               0.000519,               0.000519
                    116,                0.67544,                0.30926,                0.88398,                0.89582,                0.88195,                0.90451,                0.60029,                 1.2626,                  0.578,                 1.1316,             0.00043583,             0.00043583,             0.00043583
                    117,                0.67558,                 0.3074,                0.88899,                 0.8946,                0.88205,                0.90255,                0.59961,                 1.2632,                0.57922,                 1.1319,             0.00035267,             0.00035267,             0.00035267
                    118,                0.66312,                0.30247,                0.88189,                0.89393,                0.88461,                0.90299,                0.59761,                 1.2623,                 0.5813,                 1.1313,              0.0002695,              0.0002695,              0.0002695
                    119,                0.66049,                0.30269,                0.88112,                0.89354,                0.89419,                0.90363,                0.59814,                 1.2611,                0.57359,                  1.133,             0.00018633,             0.00018633,             0.00018633
