                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.80392,                0.40623,                0.90792,                0.88308,                0.77216,                 0.8367,                0.49676,                 1.3631,                0.76447,                 1.2956,              0.0047605,              0.0047605,              0.0047605
                     65,                0.80446,                0.40389,                0.90649,                0.85744,                0.76117,                0.84035,                0.50449,                 1.3684,                0.80799,                 1.2786,              0.0046773,              0.0046773,              0.0046773
                     66,                0.80852,                0.40948,                0.90896,                0.84677,                0.72585,                0.80412,                0.47492,                 1.4352,                0.96642,                 1.3125,              0.0045942,              0.0045942,              0.0045942
                     67,                0.80644,                0.40252,                0.90603,                0.88577,                0.79432,                0.86423,                0.51671,                 1.3051,                0.74336,                 1.2576,               0.004511,               0.004511,               0.004511
                     68,                0.78559,                0.39285,                0.90065,                0.88674,                0.78611,                0.84732,                0.50366,                 1.3291,                0.77177,                 1.2719,              0.0044278,              0.0044278,              0.0044278
                     69,                0.79998,                0.39831,                 0.9072,                0.87908,                0.77047,                0.84464,                0.49425,                 1.3872,                0.78838,                 1.2949,              0.0043447,              0.0043447,              0.0043447
                     70,                0.79133,                0.39368,                0.90242,                0.88959,                0.79921,                0.86309,                0.51294,                  1.381,                0.73189,                 1.3115,              0.0042615,              0.0042615,              0.0042615
                     71,                0.78798,                0.39347,                0.90143,                0.87133,                 0.7689,                0.85052,                0.51018,                 1.4066,                0.79829,                 1.3012,              0.0041783,              0.0041783,              0.0041783
                     72,                0.77524,                0.38695,                0.89536,                0.86644,                0.76392,                0.84724,                0.50281,                 1.4077,                 0.8016,                 1.3177,              0.0040952,              0.0040952,              0.0040952
                     73,                 0.7826,                0.39033,                0.90105,                0.87579,                0.80054,                 0.8781,                0.52093,                 1.4078,                 0.7875,                 1.3161,               0.004012,               0.004012,               0.004012
                     74,                0.77829,                0.38807,                0.90223,                 0.8491,                0.83279,                0.88422,                 0.5295,                 1.3701,                0.73796,                 1.3069,              0.0039288,              0.0039288,              0.0039288
